id,status,time,card_type,city,amount,fees,discount,balance_before,is_weekend
2303,pending,2024-11-24 06:45:00,debit,Karaj,3394499,3252,7885,4239747,1
2304,failed,2024-11-25 01:26:00,virtual,Tehran,1909717,888,20845,2328630,0
2305,success,2024-12-20 08:40:00,gift,Bandar Abbas,4528459,4509,867,5121150,0
2306,failed,2024-04-24 20:02:00,shaparak,Kermanshah,1000974,2694,3733,6848373,1
2307,processing,2024-06-27 21:05:00,visa,Qazvin,832011,512,16505,6874232,0
2308,processing,2024-10-20 09:27:00,credit,Kerman,1591176,462,26077,6988804,1
2309,failed,2024-06-27 10:21:00,virtual,Kashan,1412925,4543,5146,6568359,1
2310,processing,2024-09-25 16:12:00,micro,Mashhad,479346,4583,20,5251992,1
2311,pending,2024-12-30 07:04:00,mastercard,Mashhad,4800590,3973,14865,7978665,1
2312,success,2024-08-04 10:37:00,visa,Karaj,1932752,3455,27542,2821680,0
2313,reversed,2024-01-20 13:38:00,shaparak,Urmia,3972704,1217,3462,7768320,0
2314,processing,2024-05-18 18:13:00,shaparak,Qom,3837952,5380,5578,6366504,0
2315,pending,2024-09-03 02:13:00,credit,Sanandaj,4919848,3025,4407,8212906,0
2316,reversed,2024-09-05 15:57:00,credit,Qom,3778261,4360,25238,10607503,1
2317,processing,2024-06-30 15:14:00,visa,Arak,1679683,6114,25117,3033459,0
2318,failed,2024-03-31 23:39:00,shaparak,Mashhad,1295777,5616,17946,7183820,1
2319,reversed,2024-09-19 07:45:00,visa,Sanandaj,3265458,4658,23262,6305974,0
2320,reversed,2024-07-01 09:01:00,gift,Isfahan,4963787,5926,18778,9324486,1
2321,success,2024-03-04 22:37:00,virtual,Qom,4462963,1972,5488,8694974,0
2322,success,2024-05-21 02:16:00,virtual,Qom,46163,1533,9004,2016411,0
2323,success,2024-03-15 10:17:00,micro,Rasht,2665518,6421,4802,7850047,0
2324,processing,2024-07-25 16:12:00,visa,Yazd,4424402,3356,27142,7538128,0
2325,pending,2024-04-08 10:22:00,shaparak,Sanandaj,2521908,525,4084,8799745,1
2326,failed,2024-02-01 13:05:00,prepaid,Isfahan,2560551,5227,814,6019121,0
2327,processing,2024-01-01 03:15:00,micro,Arak,2476483,3008,19597,5109136,0
2328,reversed,2024-06-08 12:51:00,nano,Shiraz,4426257,5004,6596,9936799,1
2329,processing,2024-05-23 03:20:00,micro,Tehran,3991076,2311,21791,4607262,0
2330,success,2024-08-17 05:09:00,shaparak,Kashan,3192126,375,1909,3209550,0
2331,success,2024-08-10 01:49:00,gift,Qom,1094687,6059,1074,3995466,0
2332,success,2024-09-22 05:10:00,micro,Kerman,4263225,2872,19965,6364987,1
2333,processing,2024-03-11 03:07:00,nano,Hamadan,3338081,853,25345,6016354,0
2334,pending,2024-10-21 09:12:00,credit,Karaj,864921,5747,16259,2263890,0
2335,pending,2024-07-26 14:46:00,prepaid,Qom,3413172,619,19061,8715092,0
2336,pending,2024-02-09 18:16:00,shaparak,Ahvaz,2051452,6532,28362,6751668,0
2337,processing,2024-03-22 05:34:00,mastercard,Shiraz,467657,4815,5963,2863125,0
2338,processing,2024-08-31 08:12:00,gift,Ahvaz,1079089,5446,2973,7453432,1
2339,success,2024-01-25 09:10:00,micro,Yazd,747522,2237,26668,6637747,1
2340,reversed,2024-07-31 17:05:00,credit,Yazd,3177557,796,7290,4046839,1
2341,success,2024-02-08 06:37:00,credit,Tehran,1847051,4219,4166,4630732,0
2342,success,2024-09-11 08:44:00,visa,Hamadan,4280539,230,16150,8003860,0
2343,processing,2024-03-23 08:27:00,prepaid,Shiraz,3486869,4169,15229,8874385,1
2344,reversed,2024-06-13 16:14:00,virtual,Isfahan,3346524,2269,29481,3857778,1
2345,reversed,2024-02-23 03:07:00,nano,Qom,2800058,4451,25796,9441827,0
2346,reversed,2024-03-22 01:19:00,virtual,Shiraz,2012222,6691,13645,8813084,0
2347,processing,2024-02-11 11:12:00,virtual,Yazd,3152278,2895,213,7597151,0
2348,processing,2024-07-19 08:38:00,nano,Qazvin,1561531,6975,22363,7479529,0
2349,failed,2024-04-07 23:33:00,virtual,Yazd,666272,5616,553,4737749,0
2350,failed,2024-02-17 13:38:00,prepaid,Kashan,4621102,2870,8936,11087918,1
2351,failed,2024-03-30 23:37:00,virtual,Karaj,554686,6480,12369,2624177,0
2352,failed,2024-12-19 02:00:00,shaparak,Shiraz,4288209,3953,422,4736953,0
2353,success,2024-08-26 09:38:00,prepaid,Tehran,3919863,6965,10843,8782594,0
2354,failed,2024-02-08 06:12:00,nano,Sanandaj,906634,796,17296,4315054,0
2355,processing,2024-08-10 22:12:00,nano,Kerman,2732216,1945,8044,7785987,0
2356,pending,2024-08-13 08:58:00,mastercard,Yazd,4222429,5963,7076,8557122,1
2357,pending,2024-07-19 03:56:00,shaparak,Karaj,2375004,1312,28889,8199442,0
2358,pending,2024-02-22 22:34:00,visa,Bandar Abbas,3721085,5718,1033,4512323,1
2359,processing,2024-03-26 11:14:00,prepaid,Rasht,4680907,3916,27760,8504736,0
2360,failed,2024-01-15 12:01:00,debit,Arak,2865508,1941,12761,3376301,1
2361,processing,2024-05-13 17:21:00,mastercard,Rasht,1427889,3112,25737,7180477,0
2362,pending,2024-07-17 03:38:00,credit,Shiraz,2445839,1520,22731,8229678,1
2363,reversed,2024-10-02 20:03:00,virtual,Tabriz,3421383,324,2392,8390188,1
2364,processing,2024-07-27 16:25:00,nano,Hamadan,114395,5752,6217,4551815,1
2365,pending,2024-09-26 18:30:00,visa,Hamadan,697450,3111,5322,5669287,1
2366,pending,2024-07-04 15:04:00,virtual,Isfahan,556665,5407,3401,4830268,1
2367,success,2024-02-10 14:20:00,credit,Sanandaj,1055122,4153,27012,5669286,0
2368,reversed,2024-08-14 23:06:00,gift,Tabriz,3568913,5364,17380,6326519,0
2369,reversed,2024-03-04 05:54:00,nano,Isfahan,3924822,4391,3850,6347210,1
2370,success,2024-07-25 10:52:00,prepaid,Hamadan,3770886,2284,29957,3929811,0
2371,success,2024-03-23 23:50:00,credit,Karaj,4004007,4500,6434,8723162,1
2372,pending,2024-11-20 12:40:00,prepaid,Tabriz,1133171,3790,3442,6165456,0
2373,reversed,2024-01-24 23:07:00,nano,Rasht,3971680,5816,3949,4340909,1
2374,reversed,2024-08-09 21:43:00,virtual,Qom,1443333,6299,20241,1696087,1
2375,pending,2024-12-06 09:21:00,micro,Sanandaj,2357758,1343,27009,7135656,0
2376,processing,2024-11-03 09:37:00,debit,Kermanshah,4039180,1470,7824,9762561,0
2377,success,2024-08-26 13:42:00,credit,Kashan,523688,5898,29633,2407522,1
2378,reversed,2024-03-16 14:57:00,shaparak,Ahvaz,2814688,6864,19244,7615069,0
2379,processing,2024-04-22 08:30:00,shaparak,Urmia,3607769,452,19869,6964819,1
2380,reversed,2024-07-14 20:14:00,debit,Tabriz,4904936,2567,28650,6401279,1
2381,failed,2024-10-07 22:22:00,prepaid,Kerman,792751,828,2629,6403784,1
2382,processing,2024-08-06 07:16:00,shaparak,Arak,4810883,3888,24003,5724112,1
2383,pending,2024-04-04 06:23:00,prepaid,Shiraz,2113869,4386,29650,6324459,1
2384,pending,2024-01-02 02:17:00,gift,Shiraz,2137033,1163,12478,6573905,0
2385,processing,2024-10-01 15:09:00,prepaid,Rasht,936474,3500,20780,4727987,0
2386,processing,2024-12-07 05:18:00,virtual,Shiraz,3324083,5157,27968,9402341,1
2387,processing,2024-02-23 15:18:00,gift,Rasht,4337615,2724,15836,5918557,1
2388,pending,2024-05-25 14:45:00,visa,Kashan,3850190,5839,21231,4921684,1
2389,success,2024-06-30 06:11:00,nano,Qom,4086993,2430,1199,5369782,1
2390,success,2024-10-08 20:32:00,gift,Sanandaj,379308,6267,11165,1253217,0
2391,success,2024-02-19 10:43:00,credit,Kermanshah,2519826,3974,4553,6902424,1
2392,pending,2024-07-14 21:43:00,shaparak,Kermanshah,1934934,6131,20593,4971310,0
2393,failed,2024-03-05 11:48:00,prepaid,Sanandaj,4140398,298,1089,8231433,0
2394,reversed,2024-11-24 05:02:00,nano,Tehran,3684704,6588,20863,4942185,1
2395,failed,2024-01-12 23:59:00,micro,Kashan,1179131,1201,20191,3944720,1
2396,success,2024-11-30 23:45:00,debit,Karaj,4186876,3785,6190,4842539,0
2397,failed,2024-07-13 16:57:00,visa,Sanandaj,749970,3178,2348,4770958,0
2398,success,2024-06-22 08:28:00,gift,Hamadan,2819271,4365,15070,9661747,1
2399,failed,2024-11-25 22:23:00,virtual,Isfahan,3145853,2356,16645,6716188,0
2400,processing,2024-05-24 05:15:00,nano,Hamadan,2876918,5932,727,5103584,1
2401,success,2024-07-05 19:57:00,prepaid,Shiraz,4781708,6504,1575,9413464,0
2402,pending,2024-09-08 14:33:00,mastercard,Isfahan,2538363,0,5437,5291985,0
2403,reversed,2024-04-12 10:16:00,gift,Arak,1216769,3204,4225,2962943,1
2404,failed,2024-11-24 07:04:00,prepaid,Yazd,4742944,4335,15574,10226645,1
2405,reversed,2024-11-13 18:04:00,mastercard,Karaj,741981,789,24750,1505653,1
2406,success,2024-02-10 11:20:00,mastercard,Mashhad,721351,2095,13642,5958160,0
2407,processing,2024-03-31 16:48:00,gift,Ahvaz,3687098,5006,11256,8734422,0
2408,processing,2024-11-29 09:23:00,debit,Karaj,2655748,142,24751,5899277,0
2409,reversed,2024-03-18 19:44:00,prepaid,Urmia,629757,3091,26406,1520573,1
2410,failed,2024-09-13 01:37:00,shaparak,Bandar Abbas,403008,926,4513,2182703,0
2411,pending,2024-08-14 00:39:00,prepaid,Sanandaj,3332816,4025,14996,5301489,0
2412,processing,2024-05-04 07:11:00,shaparak,Qom,1662721,2678,5299,8475301,0
2413,processing,2024-06-26 01:38:00,virtual,Kashan,1617142,3852,13854,2058448,0
2414,success,2024-04-17 12:33:00,prepaid,Shiraz,2833924,6018,14781,8705244,1
2415,pending,2024-08-19 13:05:00,gift,Tabriz,1230618,669,3469,3422318,0
2416,reversed,2024-03-02 11:42:00,prepaid,Yazd,793638,5374,14106,4015778,1
2417,failed,2024-07-20 00:41:00,virtual,Mashhad,700007,6761,16595,4281221,1
2418,reversed,2024-08-18 03:21:00,credit,Ahvaz,492835,4474,13860,5227603,0
2419,failed,2024-01-11 17:10:00,gift,Isfahan,3766227,5308,20501,10638052,0
2420,reversed,2024-09-25 09:13:00,credit,Qom,4095933,27,6133,6625052,0
2421,failed,2024-03-20 10:48:00,visa,Qom,1341998,3872,22711,8041479,1
2422,processing,2024-12-15 17:57:00,prepaid,Sanandaj,4852528,6409,3449,6359343,1
2423,processing,2024-11-16 18:52:00,visa,Kermanshah,1669705,3805,4896,7993621,0
2424,reversed,2024-03-07 03:14:00,mastercard,Arak,3729428,1247,25107,4130162,0
2425,pending,2024-04-24 09:44:00,credit,Tehran,3086502,174,28218,6027083,0
2426,reversed,2024-06-25 02:41:00,debit,Mashhad,4222856,3975,20064,5828789,0
2427,success,2024-07-26 00:57:00,gift,Qom,2998471,481,22974,3213141,0
2428,pending,2024-06-05 05:11:00,micro,Hamadan,377857,5313,13669,2267496,0
2429,success,2024-04-30 21:05:00,visa,Tehran,4363562,2273,99,9428268,0
2430,success,2024-09-18 15:50:00,visa,Yazd,699402,6397,16122,1992609,1
2431,reversed,2024-02-23 17:22:00,prepaid,Urmia,4401788,1461,14416,4897095,0
2432,success,2024-03-30 20:31:00,shaparak,Mashhad,2635052,3810,8005,7047446,1
2433,success,2024-03-05 16:27:00,shaparak,Tehran,4496318,2267,3057,6146465,0
2434,pending,2024-10-23 17:10:00,gift,Sanandaj,645662,2814,16421,1822494,1
2435,success,2024-09-05 00:56:00,shaparak,Ahvaz,2526305,2404,23913,8215772,0
2436,failed,2024-07-13 00:38:00,gift,Kashan,3972100,6972,24970,9982029,1
2437,reversed,2024-07-11 19:21:00,credit,Mashhad,330023,4443,22105,6140266,1
2438,failed,2024-07-04 00:04:00,gift,Urmia,786074,3064,26836,4556230,0
2439,failed,2024-10-12 01:44:00,credit,Hamadan,2742279,4129,6676,5833373,0
2440,reversed,2024-11-14 13:00:00,micro,Rasht,4769012,6287,14497,7154535,1
2441,pending,2024-12-28 17:55:00,micro,Ahvaz,4264005,1357,16511,4294798,1
2442,processing,2024-09-03 05:54:00,virtual,Shiraz,4349270,3190,5368,6750894,1
2443,pending,2024-11-30 22:17:00,prepaid,Kashan,4734549,347,14636,5930797,1
2444,failed,2024-09-08 03:59:00,credit,Mashhad,2244004,3991,1133,4802552,1
2445,processing,2024-09-28 13:26:00,credit,Tehran,3869559,2345,21736,6535315,1
2446,failed,2024-01-03 16:32:00,credit,Urmia,3256895,2516,21001,7687525,1
2447,reversed,2024-05-31 14:58:00,gift,Arak,285098,2537,18526,1479023,0
2448,failed,2024-02-07 05:34:00,debit,Hamadan,1714387,612,21579,3847309,1
2449,reversed,2024-09-03 10:12:00,mastercard,Tehran,1922723,5284,26292,5224654,1
2450,reversed,2024-05-20 04:55:00,shaparak,Yazd,33273,4980,28194,152760,0
2451,failed,2024-08-08 22:08:00,prepaid,Arak,1466263,1294,4357,4333882,0
2452,failed,2024-01-16 12:10:00,gift,Sanandaj,974710,240,5451,7206463,0
2453,reversed,2024-12-07 09:23:00,prepaid,Tehran,1480491,5250,10969,1903560,1
2454,reversed,2024-10-10 00:22:00,credit,Urmia,1244651,6885,11683,2896697,1
2455,reversed,2024-06-22 09:11:00,debit,Bandar Abbas,4824244,970,17814,10406902,1
2456,reversed,2024-05-10 20:04:00,shaparak,Mashhad,3203032,6383,24230,6627663,1
2457,processing,2024-11-27 14:06:00,nano,Arak,1389183,6791,13342,4769222,0
2458,success,2024-09-11 13:35:00,prepaid,Kerman,1219201,4074,772,4604751,1
2459,pending,2024-07-03 09:51:00,virtual,Shiraz,671842,5270,11002,1055423,0
2460,success,2024-09-22 17:17:00,virtual,Yazd,703502,3454,4931,6783855,0
2461,reversed,2024-05-04 01:53:00,debit,Tabriz,4653840,4710,17869,5648075,0
2462,failed,2024-08-01 04:04:00,virtual,Qom,1233406,6767,22987,4924404,1
2463,reversed,2024-02-06 11:46:00,debit,Shiraz,205036,1200,4065,2375162,1
2464,pending,2024-07-11 06:24:00,mastercard,Kerman,1971866,6065,27722,4251173,0
2465,success,2024-02-08 17:09:00,micro,Karaj,3581836,2599,4269,4280017,0
2466,processing,2024-11-22 08:26:00,gift,Rasht,3790518,6169,17857,10769775,0
2467,processing,2024-03-28 18:49:00,visa,Hamadan,984541,5977,17695,7701984,1
2468,processing,2024-05-30 15:26:00,shaparak,Kermanshah,4394081,4290,964,11292696,0
2469,pending,2024-12-15 09:26:00,mastercard,Karaj,1678685,5707,12214,6484891,1
2470,success,2024-10-27 19:13:00,virtual,Shiraz,2447853,6584,22384,2635547,1
2471,processing,2024-09-30 02:38:00,gift,Kerman,3002878,654,17491,6997367,0
2472,processing,2024-04-05 08:21:00,mastercard,Qazvin,4321433,2067,10191,10684688,0
2473,processing,2024-04-07 09:34:00,nano,Kashan,2861794,2568,25414,8039310,0
2474,processing,2024-06-09 21:30:00,credit,Tabriz,4866066,6764,26414,11668617,1
2475,reversed,2024-12-03 07:03:00,nano,Kermanshah,3716333,748,9358,10391746,0
2476,pending,2024-04-15 03:21:00,debit,Arak,1060208,3810,29844,1694312,0
2477,pending,2024-07-29 03:55:00,shaparak,Kermanshah,2173152,1387,209,2601245,0
2478,success,2024-09-22 14:30:00,debit,Arak,2654778,5574,23689,8231746,1
2479,processing,2024-07-22 13:20:00,visa,Hamadan,4887094,464,4743,9328894,0
2480,processing,2024-07-15 21:30:00,virtual,Shiraz,2575881,2316,20537,8152727,0
2481,success,2024-06-13 17:20:00,nano,Bandar Abbas,2293846,6373,12828,2493248,0
2482,success,2024-06-07 13:14:00,gift,Shiraz,35649,770,2055,3148820,1
2483,success,2024-06-03 18:25:00,virtual,Hamadan,3836032,2581,18484,6167301,0
2484,failed,2024-07-15 00:56:00,nano,Yazd,3642569,1754,5108,3947284,1
2485,pending,2024-06-30 17:20:00,virtual,Urmia,1334014,6625,10263,6711130,0
2486,processing,2024-07-05 22:24:00,nano,Urmia,2799531,661,26465,2835419,0
2487,processing,2024-12-13 02:52:00,prepaid,Kerman,2045517,272,11130,2894626,1
2488,success,2024-07-20 05:22:00,credit,Tehran,3254500,3199,23270,3445365,1
2489,pending,2024-12-07 20:15:00,prepaid,Kermanshah,4738620,3890,8078,8541278,1
2490,failed,2024-02-12 08:32:00,virtual,Sanandaj,2504365,19,10280,8152907,1
2491,processing,2024-10-10 04:55:00,prepaid,Qazvin,3817170,4538,624,10010763,1
2492,reversed,2024-02-13 22:13:00,nano,Qazvin,3731510,2068,17901,7893786,1
2493,success,2024-02-09 19:14:00,shaparak,Kermanshah,3201901,1787,22169,4404729,1
2494,success,2024-01-06 10:02:00,micro,Sanandaj,555475,511,8042,6693683,0
2495,failed,2024-10-03 07:01:00,virtual,Qom,183536,2149,16752,3821935,1
2496,processing,2024-02-10 04:06:00,debit,Tabriz,2527268,1850,17602,2775125,1
2497,reversed,2024-09-08 05:53:00,micro,Kermanshah,3694208,6168,25113,5539747,1
2498,pending,2024-12-16 21:41:00,shaparak,Shiraz,3401176,5707,7333,9043534,1
2499,reversed,2024-07-03 05:52:00,visa,Urmia,3921994,1220,17794,7839959,0
2500,success,2024-01-02 03:23:00,mastercard,Kerman,960683,4115,17555,6126174,0
2501,pending,2024-08-23 05:08:00,visa,Bandar Abbas,2297974,1085,11179,2965741,1
2502,success,2024-05-12 06:01:00,visa,Isfahan,1906449,3649,3849,8142188,1
2503,success,2024-02-22 14:45:00,micro,Kermanshah,1258233,2554,24529,7497673,0
2504,reversed,2024-02-08 17:13:00,virtual,Tehran,3023448,3450,11536,7196084,1
2505,success,2024-08-31 19:59:00,credit,Kerman,1895303,3513,11678,7591066,1
2506,pending,2024-10-23 15:27:00,credit,Ahvaz,2942414,5424,3598,8329333,1
2507,failed,2024-05-20 22:19:00,prepaid,Yazd,377970,3598,15689,3785631,1
2508,reversed,2024-01-20 12:05:00,debit,Isfahan,3580830,3961,10249,9667123,0
2509,processing,2024-11-06 07:19:00,nano,Kerman,4795650,3946,4972,11223321,0
2510,pending,2024-06-08 04:37:00,gift,Sanandaj,3908790,6330,679,5453434,0
2511,reversed,2024-09-28 21:06:00,debit,Urmia,1565700,6021,20512,4002391,0
2512,failed,2024-07-04 00:09:00,mastercard,Kermanshah,1521804,3304,9911,2518160,0
2513,processing,2024-11-13 20:36:00,micro,Kashan,2852133,255,3610,7201960,0
2514,reversed,2024-10-25 19:09:00,nano,Mashhad,1248624,3253,26702,7714265,0
2515,processing,2024-04-29 11:54:00,gift,Hamadan,1069472,732,20811,4753715,1
2516,success,2024-11-26 21:10:00,visa,Mashhad,4412185,5160,27669,11128064,1
2517,pending,2024-11-05 18:03:00,debit,Shiraz,4314467,983,614,9969541,1
2518,failed,2024-03-17 19:43:00,credit,Ahvaz,3437821,1470,20109,5699628,0
2519,pending,2024-06-17 16:45:00,virtual,Mashhad,2451109,3574,8790,3547205,1
2520,pending,2024-12-22 07:14:00,prepaid,Isfahan,1290170,3511,20008,1636975,0
2521,reversed,2024-08-12 00:34:00,nano,Kerman,3522350,900,27278,5693984,1
2522,failed,2024-04-13 03:29:00,visa,Isfahan,2171718,1311,10472,6638219,1
2523,failed,2024-01-04 23:25:00,nano,Qom,954631,6145,20758,1714001,0
2524,reversed,2024-01-21 01:16:00,micro,Kerman,2984550,5552,16266,6976431,1
2525,reversed,2024-11-12 03:33:00,credit,Bandar Abbas,3216581,6298,16547,8588083,1
2526,processing,2024-01-29 02:06:00,shaparak,Kermanshah,2414364,913,29862,7320931,1
2527,processing,2024-12-21 21:26:00,visa,Urmia,1810328,4425,27599,4921339,1
2528,failed,2024-11-02 06:37:00,micro,Shiraz,2086768,3850,13375,4602950,0
2529,failed,2024-04-20 05:49:00,prepaid,Hamadan,644755,1317,17381,3685797,0
2530,processing,2024-01-06 01:28:00,gift,Tehran,3628009,4243,21807,8932967,0
2531,processing,2024-09-25 13:15:00,mastercard,Arak,2589214,3635,11069,7748092,0
2532,success,2024-10-23 01:41:00,virtual,Bandar Abbas,3926721,1448,8869,7130046,1
2533,pending,2024-12-23 20:03:00,mastercard,Tehran,1576344,4380,9314,4595298,0
2534,success,2024-04-10 12:54:00,prepaid,Qazvin,1975720,5157,27471,6320228,0
2535,processing,2024-05-29 22:37:00,credit,Isfahan,1891816,3198,2055,4987227,1
2536,pending,2024-02-22 11:36:00,shaparak,Kermanshah,2340361,2724,26748,5146957,0
2537,failed,2024-03-26 20:56:00,debit,Sanandaj,649710,2089,8403,3193845,0
2538,success,2024-02-25 10:11:00,nano,Rasht,1528786,1586,25657,2965039,0
2539,success,2024-09-19 00:39:00,visa,Shiraz,1062767,3713,12270,4979219,1
2540,processing,2024-05-19 04:14:00,gift,Isfahan,4373609,1687,4241,9324730,0
2541,success,2024-08-05 17:52:00,visa,Mashhad,3587044,2377,5363,6433984,1
2542,success,2024-03-24 16:57:00,gift,Bandar Abbas,3081367,346,27475,3385251,0
2543,success,2024-01-16 06:15:00,debit,Isfahan,2745670,4984,3102,5553791,1
2544,success,2024-01-12 13:26:00,mastercard,Hamadan,1699136,3002,11659,5684092,1
2545,success,2024-10-31 19:15:00,credit,Mashhad,3987290,3571,29781,8836605,0
2546,reversed,2024-05-17 00:13:00,micro,Tabriz,2539135,6504,1669,4629979,1
2547,processing,2024-08-14 18:15:00,debit,Rasht,3621194,3898,17274,6802457,1
2548,pending,2024-02-17 18:27:00,credit,Shiraz,4339844,5717,20659,5493261,0
2549,reversed,2024-02-10 22:36:00,credit,Arak,4577485,1279,17621,5956313,1
2550,processing,2024-08-10 12:40:00,debit,Kashan,4543234,6378,11122,5719519,0
2551,processing,2024-03-01 02:07:00,virtual,Tehran,1436528,4205,5886,7874851,1
2552,processing,2024-05-21 12:23:00,debit,Urmia,4754021,3671,26362,10192675,1
2553,success,2024-02-19 04:36:00,virtual,Urmia,41311,6958,21787,1716060,1
2554,reversed,2024-01-20 15:14:00,micro,Ahvaz,677414,6941,3624,4830775,0
2555,processing,2024-10-23 22:31:00,mastercard,Bandar Abbas,210793,5433,29987,5069795,1
2556,processing,2024-02-27 14:35:00,debit,Shiraz,83328,4220,5588,5786551,1
2557,processing,2024-01-15 09:02:00,shaparak,Qazvin,3418789,6284,25845,4154606,0
2558,pending,2024-11-26 12:05:00,prepaid,Qom,3102754,4001,27549,4340906,0
2559,failed,2024-11-18 18:29:00,shaparak,Kashan,4870470,1694,29478,8348161,1
2560,success,2024-04-06 20:27:00,gift,Yazd,2693836,4927,9891,6900858,0
2561,pending,2024-03-26 18:48:00,shaparak,Kermanshah,140656,4938,7405,3828712,0
2562,failed,2024-09-25 09:11:00,micro,Mashhad,1540485,4907,8110,8147473,0
2563,failed,2024-12-15 11:07:00,visa,Bandar Abbas,4230222,1202,533,10140799,1
2564,processing,2024-11-01 11:42:00,gift,Urmia,2517028,2065,14176,8079547,0
2565,reversed,2024-08-23 17:29:00,visa,Tabriz,3895637,6744,13797,10066653,1
2566,success,2024-04-21 05:44:00,debit,Tehran,3558119,2785,13275,8929819,0
2567,success,2024-11-04 12:36:00,virtual,Isfahan,986580,2882,2872,4610695,1
2568,processing,2024-07-04 18:07:00,virtual,Qazvin,2429986,4851,24568,4243709,0
2569,failed,2024-06-09 15:13:00,mastercard,Tabriz,2628562,4224,24746,3526508,0
2570,processing,2024-10-04 21:02:00,debit,Tabriz,3264785,2139,16665,5123055,1
2571,success,2024-12-28 22:33:00,mastercard,Isfahan,1688666,4094,4568,4778037,0
2572,pending,2024-10-16 21:16:00,gift,Mashhad,870826,1057,3325,4448570,1
2573,reversed,2024-12-19 23:03:00,shaparak,Kashan,180112,1649,24251,4998852,1
2574,pending,2024-01-26 08:40:00,prepaid,Karaj,3161066,1728,11446,4372906,0
2575,success,2024-03-07 23:04:00,prepaid,Shiraz,3268273,3000,8225,8380377,1
2576,reversed,2024-06-11 08:28:00,credit,Qazvin,1275355,3582,26351,7212759,0
2577,pending,2024-12-19 08:33:00,nano,Urmia,2444439,3658,24223,4327764,0
2578,success,2024-07-16 08:36:00,shaparak,Kermanshah,2035832,3042,27608,4639279,1
2579,reversed,2024-11-10 15:18:00,prepaid,Mashhad,263487,1471,23790,3815642,1
2580,pending,2024-08-29 04:07:00,prepaid,Sanandaj,3073472,1463,28368,4841867,1
2581,reversed,2024-10-19 20:14:00,micro,Kerman,1038630,2129,3574,6616763,1
2582,processing,2024-11-22 01:19:00,gift,Qazvin,80739,4846,29384,5614750,1
2583,reversed,2024-10-22 20:21:00,mastercard,Urmia,3850706,1614,8323,10213397,1
2584,failed,2024-05-01 13:19:00,mastercard,Hamadan,1770550,2985,15218,5380244,1
2585,reversed,2024-07-20 07:30:00,micro,Ahvaz,826981,2567,15261,7808619,0
2586,processing,2024-06-13 16:32:00,nano,Qazvin,4627258,4851,25227,9956356,1
2587,reversed,2024-06-30 04:09:00,gift,Sanandaj,4687550,6910,13792,9086025,0
2588,reversed,2024-07-08 05:44:00,nano,Qom,4608436,1482,19128,11540150,1
2589,success,2024-02-23 13:18:00,micro,Isfahan,3441176,6756,22090,4401223,0
2590,reversed,2024-11-20 02:48:00,prepaid,Shiraz,2500372,1496,11559,9084841,1
2591,processing,2024-09-29 23:42:00,virtual,Sanandaj,2396619,3584,10201,8420111,1
2592,processing,2024-11-15 07:58:00,credit,Yazd,2314590,2454,22421,7280279,0
2593,failed,2024-03-30 02:21:00,credit,Kerman,1017376,4095,1216,6987893,1
2594,pending,2024-03-20 17:31:00,nano,Qom,364928,6583,8503,2413885,1
2595,pending,2024-05-16 05:28:00,debit,Tehran,1274968,6126,29264,6896952,0
2596,failed,2024-04-06 04:38:00,micro,Tehran,3519561,3371,14813,5204197,0
2597,success,2024-07-26 13:54:00,mastercard,Kerman,2856983,6477,8411,9755548,0
2598,failed,2024-08-22 02:07:00,debit,Shiraz,1315746,1682,29135,3754697,1
2599,success,2024-02-29 20:14:00,mastercard,Tehran,2357391,6879,15461,6135127,0
2600,failed,2024-05-03 15:00:00,micro,Karaj,3745542,1408,9334,8803823,0
2601,processing,2024-06-20 01:22:00,nano,Arak,125639,1040,3807,5658198,1
2602,pending,2024-08-20 04:05:00,nano,Isfahan,3746559,171,5017,6121629,1
2603,success,2024-02-02 00:23:00,mastercard,Qazvin,2291252,5731,3856,3670263,1
2604,success,2024-03-09 10:09:00,virtual,Karaj,4334038,266,3272,6154450,1
2605,processing,2024-09-12 23:40:00,debit,Sanandaj,607774,3466,29004,855565,0
2606,success,2024-10-25 08:59:00,micro,Bandar Abbas,4224913,1168,25450,10735500,0
2607,success,2024-01-17 16:04:00,mastercard,Qom,1743275,305,19098,4320911,0
2608,pending,2024-11-27 04:19:00,shaparak,Sanandaj,4371464,2415,20297,5116592,0
2609,pending,2024-08-07 16:32:00,nano,Tabriz,3048147,2406,7299,3941337,0
2610,reversed,2024-10-11 21:34:00,virtual,Kashan,762363,5891,29160,4174515,1
2611,failed,2024-10-19 10:36:00,visa,Tehran,4390135,3970,4803,10235091,0
2612,failed,2024-01-20 02:40:00,gift,Karaj,488849,6829,27377,4741727,1
2613,reversed,2024-01-19 11:58:00,virtual,Kermanshah,1286811,1059,8442,6259988,1
2614,pending,2024-08-22 11:39:00,prepaid,Kermanshah,788724,4342,25944,6692184,1
2615,success,2024-05-16 04:39:00,prepaid,Qom,291179,1976,9763,1754179,1
2616,processing,2024-09-20 12:06:00,credit,Arak,793698,5846,19382,7101068,0
2617,failed,2024-01-11 06:56:00,micro,Rasht,4302977,5646,12309,10212261,1
2618,failed,2024-10-25 02:42:00,shaparak,Kashan,2184985,558,23234,7619589,1
2619,processing,2024-10-26 17:03:00,prepaid,Qom,3845912,461,23917,4388238,0
